Region,TotalOwner,TotalRenter,MarriedOwner,MarriedRenter,MaleOwner,MaleRenter,FemaleOwner,FemaleRenter,NonfamilyOwner,NonfamilyRenter
"Athens-Clarke County, GA Metro Area",54.6,45.4,77.6,22.4,56.6,43.4,42.9,57.1,34.6,65.4
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",64.2,35.8,81,19,54.1,45.9,46.9,53.1,48.9,51.1
"Atlantic City-Hammonton, NJ Metro Area",66.9,33.1,82.4,17.6,57.6,42.4,48.9,51.1,55.6,44.4
"Atmore, AL Micro Area",66.5,33.5,82.4,17.6,53.3,46.7,39.8,60.2,59.4,40.6
"Auburn, IN Micro Area",79.2,20.8,92.1,7.9,71.3,28.7,59.7,40.3,63.9,36.1
"Auburn, NY Micro Area",70.9,29.1,90.1,9.9,76.9,23.1,50.7,49.3,54.3,45.7
"Auburn-Opelika, AL Metro Area",63.4,36.6,85.1,14.9,58.7,41.3,51.2,48.8,41.3,58.7
"Augusta-Richmond County, GA-SC Metro Area",67.5,32.5,83.9,16.1,59.3,40.7,45.4,54.6,56.5,43.5
"Augusta-Waterville, ME Micro Area",70.7,29.3,89.6,10.4,59.8,40.2,55.7,44.3,53.7,46.3
"Austin, MN Micro Area",72.3,27.7,88.5,11.5,60.9,39.1,47.4,52.6,57.7,42.3
"Austin-Round Rock-Georgetown, TX Metro Area",58.6,41.4,77.5,22.5,49.5,50.5,46.8,53.2,38.5,61.5
"Bainbridge, GA Micro Area",61.3,38.7,77.9,22.1,54.1,45.9,41.9,58.1,50.8,49.2
"Bakersfield, CA Metro Area",58.9,41.1,70.2,29.8,52.2,47.8,38.8,61.2,51.3,48.7
"Baltimore-Columbia-Towson, MD Metro Area",66.6,33.4,84.1,15.9,62.6,37.4,51.2,48.8,50.7,49.3
"Bangor, ME Metro Area",70.1,29.9,87.1,12.9,76.9,23.1,53.2,46.8,53.7,46.3
"Baraboo, WI Micro Area",70,30,86,14,58.8,41.2,50.5,49.5,53.3,46.7
"Bardstown, KY Micro Area",78.1,21.9,87.9,12.1,78.9,21.1,63.7,36.3,66.2,33.8
